BookID,Title,Authors,Score,ISBN,ISBN13,Language,Num_Pages,Ratings_Count,Text_Reviews_Count,Publication_Date,Publisher,Type
16188,Wideacre  (The Wideacre Trilogy  #1),Philippa Gregory,3.3,0743249291,9780743249294,eng,656,18944,1547,2003-07-02,Washington Square Press,Book
16192,You Can't Be Neutral on a Moving Train: A Personal History of Our Times,Howard Zinn,4.3,0807071277,9780807071274,eng,214,2543,141,2002-09-05,Beacon Press,Book
16200,Ella Minnow Pea: A Novel in Letters,Mark Dunn,3.85,0385722435,9780385722438,eng,208,23926,4356,2002-09-17,Anchor,Book
16213,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard Preston,4.12,0385495226,9780385495226,eng,352,85408,4334,1999-06-15,Anchor Books,Book
16243,Case Histories (Jackson Brodie #1),Kate Atkinson,3.83,0316010707,9780316010702,eng,389,67271,5246,2005-10-17,Back Bay Books,Book
16271,The Intuitionist,Colson Whitehead,3.68,0385493002,9780385493000,eng,255,7473,903,1999-01-04,Anchor Books,Book
16276,John Henry Days,Colson Whitehead,3.65,0385498209,9780385498203,eng,400,1940,186,2002-05-14,Anchor,Book
16280,Why Are All The Black Kids Sitting Together in the Cafeteria?: A Psychologist Explains the Development of Racial Identity,Beverly Daniel Tatum,4.21,0465083617,9780465083619,en-US,320,9845,703,2003-01-17,Basic Books,Book
16286,The Magus,John Fowles,4.05,0316296198,9780316296199,eng,656,38247,1915,2001-01-04,Back Bay Books,Book
16297,Cards on the Table (Hercule Poirot  #15),Agatha Christie,3.92,0425205959,9780425205952,eng,324,25236,1046,2005-07-05,Berkley,Book
16298,A Murder Is Announced (Miss Marple  #5),Agatha Christie,3.98,1579126294,9781579126292,eng,288,33195,1220,2006-09-30,Black Dog & Leventhal Publishers,Book
16299,And Then There Were None,Agatha Christie,4.26,0312330871,9780312330873,eng,264,625767,18785,2004-05-03,St. Martin's Press,Book
16300,Sleeping Murder (Miss Marple  #13),Agatha Christie,3.95,0002317850,9780002317856,eng,242,19657,884,2003-08-04,Dodd Mead; 1st edition (September 1976),Book
16301,Agatha Christie: An Autobiography,Agatha Christie/Robert Welch Herrick,4.27,0006353282,9780006353287,eng,560,4296,310,2001-01-02,HarperCollins,Book
16304,Murder on the Orient Express (Hercule Poirot  #10),Agatha Christie,4.17,0425200450,9780425200452,eng,322,145660,5711,2004-08-31,Berkley,Book
16305,Evil Under the Sun (Hercule Poirot  #24),Agatha Christie,3.97,1579126286,9781579126285,eng,220,36334,975,2006-09-01,Black Dog & Leventhal Publishers,Book
16307,Hallowe'en Party (Hercule Poirot  #39),Agatha Christie,3.66,0007120680,9780007120680,eng,336,20656,1246,2001-09-03,Harper,Book
16315,Crooked House,Agatha Christie,4.04,031298166X,9780312981662,eng,276,24849,1429,2002-08-19,Minotaur Books,Book
16319,The Body in the Library (Miss Marple  #3),Agatha Christie,3.85,157912626X,9781579126261,eng,191,46454,1675,2006-09-01,Black Dog & Leventhal Publishers,Book
16320,Witness for the Prosecution and Selected Plays,Agatha Christie,4.05,000649045X,9780006490456,eng,352,3967,67,1995-10-07,HarperCollins Publishers Ltd,Book
16322,The A.B.C. Murders (Hercule Poirot  #13),Agatha Christie,4.01,1579126243,9781579126247,eng,252,69806,2470,2006-09-01,Black Dog & Leventhal Publishers,Book
16325,Partners in Crime (Tommy and Tuppence #2),Agatha Christie,3.77,0007111509,9780007111503,eng,347,10106,520,2001-01-01,HarperCollins Publishers,Book
16328,The Murder of Roger Ackroyd (Hercule Poirot  #4),Agatha Christie,4.24,1579126278,9781579126278,eng,288,103149,5659,2006-09-01,Black Dog & Leventhal Publishers,Book
16329,Dead Man's Folly (Hercule Poirot  #33),Agatha Christie/David Suchet,3.79,1572705477,9781572705470,eng,6,12256,393,2006-09-08,BBC Audiobooks,Book
16330,Poirot's Early Cases: 18 Hercule Poirot Mysteries (Hercule Poirot  #41),Agatha Christie/Hugh Fraser/David Suchet,3.92,1572704721,9781572704725,eng,8,5473,144,2005-07-26,AudioGO,Book
16331,Murder at the Vicarage (Miss Marple  #1),Agatha Christie,4.05,1579126251,9781579126254,eng,288,121099,2237,2006-09-01,Black Dog & Leventhal Publishers,Book
16335,The Mystery of the Blue Train (Hercule Poirot  #6),Agatha Christie,3.8,1579126952,9781579126957,eng,317,23274,1053,2007-03-30,Black Dog & Leventhal Publishers,Book
16336,The Unexpected Guest: A Play In Two Acts,Agatha Christie,3.83,0573014671,9780573014673,eng,100,2813,167,2010-11-12,Samuel French Ltd,Book
16342,Cat Among the Pigeons (Hercule Poirot  #34),Agatha Christie,3.83,0425205967,9780425205969,eng,352,21230,735,2005-07-05,Berkley,Book
16343,The Mysterious Affair at Styles (Hercule Poirot  #1),Agatha Christie,3.99,0646418432,9780646418438,eng,121,196377,3885,2002-10-21,Deodand,Book
16349,Hercule Poirot's Christmas (Hercule Poirot  #20),Agatha Christie,3.94,0007120699,9780007120697,eng,335,26085,1497,2001-09-01,HarperCollins Publishers,Book
16352,Black Coffee (Hercule Poirot  #45.5),Charles Osborne/Agatha Christie,3.5,0312970072,9780312970079,eng,304,10356,622,1999-09-15,St. Martin's Paperbacks,Book
16364,Murder on the Orient Express (Hercule Poirot  #10),Agatha Christie,4.17,1579126235,9781579126230,eng,266,1520,238,2006-09-01,Black Dog & Leventhal Publishers,Book
16374,The Most of P.G. Wodehouse,P.G. Wodehouse,4.48,0743203585,9780743203586,eng,701,1872,106,2000-11-01,Simon & Schuster,Book
16376,Full Moon (Blandings Castle  #7),P.G. Wodehouse,4.17,1585678368,9781585678365,eng,272,1860,131,2006-11-23,Harry N. Abrams,Book
16377,How Right You Are  Jeeves (Jeeves  #12),P.G. Wodehouse,4.17,0743203593,9780743203593,eng,206,2769,156,2000-11-01,Touchstone,Book
16379,Life With Jeeves (Jeeves  #6  2  & 4),P.G. Wodehouse,4.39,0140059024,9780140059021,eng,557,3169,137,1983-09-29,Penguin Books,Book
16387,Carry On  Jeeves (Jeeves  #3),P.G. Wodehouse,4.27,1585673927,9781585673926,eng,273,15598,771,2003-03-31,The Overlook Press,Book
16388,Lord Emsworth and Others (Blandings Castle  #5.5),P.G. Wodehouse,4.16,1585672777,9781585672776,eng,268,1099,77,2002-05-13,The Overlook Press,Book
16390,The Mating Season (Jeeves  #9),P.G. Wodehouse,4.26,1585672319,9781585672318,eng,272,4616,287,2002-01-01,Harry N. Abrams,Book
16392,Thank You  Jeeves (Jeeves  #5),P.G. Wodehouse,4.24,1585674346,9781585674343,eng,263,5700,308,2003-09-15,Harry N. Abrams,Book
16393,Big Money,P.G. Wodehouse,3.93,014000937X,9780140009378,eng,288,1117,78,1991-09-03,Penguin Books,Book
